Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link
33367905046,Amazin' Avenue,,AmazinAvenue,Recreation & Sports Website,0.11,100975,1311,yes,https://www.facebook.com/AmazinAvenue/
222817795594,FishStripes,,FishStripes,Recreation & Sports Website,0.07,2870,92,yes,https://www.facebook.com/FishStripes/
138422239516142,Bucs Dugout-A Pittsburgh Pirates Blog,,BucsDugout,Recreation & Sports Website,0.07,2704,321,yes,https://www.facebook.com/BucsDugout/
19427860874,Brew Crew Ball,,BrewCrewBallSBN,Recreation & Sports Website,0.11,7604,886,yes,https://www.facebook.com/BrewCrewBallSBN/
214487544278,McCovey Chronicles,,McCoveyChronicles,Recreation & Sports Website,0.04,36756,646,yes,https://www.facebook.com/McCoveyChronicles/
20780621298,Purple Row,,PurpleRowSBN,Recreation & Sports Website,0.14,18194,552,yes,https://www.facebook.com/PurpleRowSBN/
154573151220507,DRaysBay,,draysbay,Recreation & Sports Website,0.16,12582,422,yes,https://www.facebook.com/draysbay/
111218460321,Over The Monster,,overthemonster,Recreation & Sports Website,0.16,63917,559,yes,https://www.facebook.com/overthemonster/
154951674521,Camden Chat,,CamdenChat,Recreation & Sports Website,0.05,27088,377,yes,https://www.facebook.com/CamdenChat/
20917867360,Bless You Boys: For Detroit Tigers Fans,,byb.tigers,Recreation & Sports Website,0.1,39013,714,yes,https://www.facebook.com/byb.tigers/
128794430091,South Side Sox,,SouthSideSox,Recreation & Sports Website,0.03,14507,77,yes,https://www.facebook.com/SouthSideSox/
103090687973,Lookout Landing,,LookoutLanding,Recreation & Sports Website,0.13,49461,366,yes,https://www.facebook.com/LookoutLanding/
155089497836659,Halos Heaven,,HalosHeaven,Recreation & Sports Website,0.06,51383,1643,yes,https://www.facebook.com/HalosHeaven/
251138700904,Battle Red Blog - Houston Texans Blog at SB Nation,,BattleRedBlog,Sports Team,0.13,13419,807,yes,https://www.facebook.com/BattleRedBlog/
18656751938,California Golden Blogs,,GoldenBlogs,Recreation & Sports Website,0.15,37176,207,no,https://www.facebook.com/GoldenBlogs/
93541048982,National Football Post,,NationalFootballPost,Sports Team,0,5491,3,no,https://www.facebook.com/NationalFootballPost/
436749055071,Deadspin,,deadspin,Recreation & Sports Website,1.74,425750,44644,no,https://www.facebook.com/deadspin/
334609445049,From The Rink,,fromtherink,Community,0,116,0,yes,https://www.facebook.com/fromtherink/
225383108939,First Sports with Steve Bortstein,,foxsports1340,Region,0.31,1029,9,yes,https://www.facebook.com/foxsports1340/
259680746118,Conquest Chronicles,,conquestchronicles,Website,0.02,1465,1,yes,https://www.facebook.com/conquestchronicles/
300102818498,Rocky Top Talk,,rockytoptalk,Website,0.11,6587,473,yes,https://www.facebook.com/rockytoptalk/
74491490783,Fear The Sword,,FearTheSword,Recreation & Sports Website,0.09,376307,61132,yes,https://www.facebook.com/FearTheSword/
116456261706731,Dr. Saturday,,DrSaturday,News & Media Website,0.02,5284,5,yes,https://www.facebook.com/DrSaturday/
37510781596,Yahoo Sports,,yahoosports,Media/News Company,1,3316854,98497,yes,https://www.facebook.com/yahoosports/
110394988999413,Puck Daddy,,PuckDaddyYahoo,Recreation & Sports Website,0.06,23800,64,yes,https://www.facebook.com/PuckDaddyYahoo/
176370798420,Copper & Blue: For Edmonton Oilers Fans,,coppernblue,Recreation & Sports Website,0.02,1755,19,yes,https://www.facebook.com/coppernblue/
59342387248,Addicted To Quack,,AddictedToQuack,Website,0.04,10712,8,yes,https://www.facebook.com/AddictedToQuack/
313008528770,Jimmy Traina,,trainaj,News & Media Website,0.03,16629,26,no,https://www.facebook.com/trainaj/
307934509134,Indy Cornrows,,IndyCornrows,Recreation & Sports Website,0.05,17792,77,yes,https://www.facebook.com/IndyCornrows/
78012561175,Golden State of Mind,,GoldenStateofMind,Recreation & Sports Website,0.19,454499,5672,yes,https://www.facebook.com/GoldenStateofMind/
307821613964,At the Hive,,AtTheHive,Recreation & Sports Website,0.01,3249,0,yes,https://www.facebook.com/AtTheHive/
73169639621,Ralphie Report,,RalphieReport,School Sports Team,0.04,5926,448,yes,https://www.facebook.com/RalphieReport/
114280725252966,Troy Nunes Is An Absolute Magician,,AbsoluteMagician,School Sports Team,0.15,11478,180,yes,https://www.facebook.com/AbsoluteMagician/
226847794566,From The Rumble Seat,,fromtherumbleseat,Recreation & Sports Website,0.03,5083,30,yes,https://www.facebook.com/fromtherumbleseat/
